Grupo,date,Hora_UTC,home_team,away_team,city,country,temp_mean,precip_sum,wind_max,climate_stress,climate_risk,home_win_prob,draw_prob,away_win_prob,expected_total_goals,climate_adjusted_goal_diff
A,2026-06-24,19:00 UTC-6,Czech Republic,Mexico,Mexico City,Mexico,17.266666666666666,5.383333333333333,16.733333333333334,0.20187499999999997,bajo,0.13598682177630914,0.2563375,0.607675678223691,2.5385,-0.9174625694444438
E,2026-06-25,16:00 UTC-4,Curaçao,Ivory Coast,Philadelphia,United States,27.566666666666666,0.4666666666666666,16.266666666666666,0.2494444444444444,bajo,0.0887058721461026,0.2649,0.6463941278538974,2.5004444444444447,-1.1919442345679008
D,2026-06-25,19:00 UTC-7,Paraguay,Australia,San Francisco Bay Area,United States,19.0,0.049999999999999996,23.683333333333334,0.06502314814814816,bajo,0.2647162376771224,0.23170416666666666,0.503579595656211,2.6479814814814815,-0.41757147479423906
D,2026-06-25,19:00 UTC-7,Turkey,USA,Los Angeles,United States,20.566666666666666,0.0,17.45,0.0,bajo,0.27328799005988685,0.22,0.5067120099401131,2.7,-0.4116111111111119
E,2026-06-25,16:00 UTC-4,Ecuador,Germany,New York/New Jersey,United States,24.849999999999998,0.2333333333333333,21.099999999999998,0.16194444444444434,bajo,0.18333991008650374,0.24914999999999998,0.5675100899134963,2.5704444444444445,-0.7044821172839502
F,2026-06-25,18:00 UTC-5,Japan,Sweden,Dallas,United States,30.150000000000002,0.2333333333333333,21.5,0.38722222222222225,medio,0.5476246152879162,0.2897,0.16267538471208373,2.3902222222222225,0.6838826913580252
F,2026-06-25,18:00 UTC-5,Tunisia,Netherlands,Kansas City,United States,27.599999999999998,15.566666666666668,22.46666666666667,0.5829629629629629,alto,0.062066057590418965,0.3249333333333333,0.6130006090762478,2.23362962962963,-1.1707558189300409
G,2026-06-26,20:00 UTC-7,Egypt,Iran,Seattle,United States,19.366666666666667,0.016666666666666666,19.166666666666668,0.013587962962962977,bajo,0.30574311535679205,0.22244583333333334,0.4718110513098746,2.6891296296296296,-0.2876502458847734
G,2026-06-26,20:00 UTC-7,New Zealand,Belgium,Vancouver,Canada,18.400000000000002,0.43333333333333335,13.966666666666667,0.01625,bajo,0.017404318394657402,0.222925,0.7596706816053426,2.6870000000000003,-2.5010810555555563
I,2026-06-26,15:00 UTC-4,Senegal,Iraq,Toronto,Canada,21.46666666666667,11.116666666666667,21.566666666666666,0.3396296296296296,medio,0.6343324398511684,0.28113333333333335,0.08453422681549828,2.4282962962962964,1.1610790534979418
